"","...1","...2","...3",":id",":version",":created_at",":updated_at","record_id","site","state_territory","source","county_fips","counties_served","population_served","sample_id","sample_collect_date","sample_type","sample_matrix","sample_location","flow_rate","concentration_method","pasteurized","pcr_type","extraction_method","major_lab_method","inhibition_detect","inhibition_adjust","ntc_amplify","pcr_target","pcr_gene_target_agg","pcr_target_avg_conc","pcr_target_units","lod_sewage","pcr_target_detect","pcr_target_avg_conc_lin","pcr_target_flowpop_lin","pcr_target_mic_lin","hum_frac_target_mic","hum_frac_mic_conc","hum_frac_mic_unit","rec_eff_percent","rec_eff_target_name","rec_eff_spike_matrix","rec_eff_spike_conc","date_updated","year"
"15",15,15,55,"row-jveq_sc2c_h67p","rv-m2a7~gyh4~jtfg",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"20a8f25b0e591d93df7dbb9f6d2b69ca",2350,"vt","CDC_Verily",50001,"Addison",9000,"e0d8e848cf40a209c3a37e147a18dd70",2026-01-13,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",4562.49174,"copies/l wastewater",1500,"yes",4562.49174,1918984.02783,9e-05,"pepper mild mottle virus",48230863.13846,"copies/l wastewater",120.5,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"16",16,16,65,"row-qx7h-988e_6i58","rv-iern_59hv_jvcm",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"fd11eb840266cad9c8495a281e3ce160",1976,"vt","CDC_Verily",50027,"Windsor",6000,"c86d0e7b13809efc1656bee42dc0231f",2026-05-20,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,1e-04,"pepper mild mottle virus",7343288.128,"copies/l wastewater",39,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"17",17,17,70,"row-2m3t-a4zr_gqwh","rv-tdzj-hfds_sqq5",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"40eca79856729d3ae2220522077394ad",1976,"vt","CDC_Verily",50027,"Windsor",6000,"39ff81e24cfcdc699ebb83dc1158f3e0",2026-05-05,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,6e-05,"pepper mild mottle virus",11994080.76308,"copies/l wastewater",32.8,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"18",18,18,75,"row-3pgv.xwzs.xufp","rv-qc3m.de3w.ia94",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"d23a1a59cc7e38e1996edf2aa11dd4b8",1976,"vt","CDC_Verily",50027,"Windsor",6000,"c52afae52054b30b1e198380e9f4d7b9",2026-04-14,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,7e-05,"pepper mild mottle virus",11362257.73785,"copies/l wastewater",44.5,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"19",19,19,82,"row-si6m~pm6t-7szh","rv-y3mg.gxdn_74ip",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"58cf07992eb3262e3cf02faf38859275",1976,"vt","CDC_Verily",50027,"Windsor",6000,"0b1a6eeb69b64cdd9a13917639c3692e",2026-02-09,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00098,"pepper mild mottle virus",763684.85957,"copies/l wastewater",10.4,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"20",20,20,85,"row-cztg_s7gx-5pxf","rv-454h~ptgb.iwg2",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"3782f2d041391c94037ceaf1e4a4b119",1976,"vt","CDC_Verily",50027,"Windsor",6000,"e4f76201844bcc7730eab4da00abbe98",2026-03-24,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,4e-05,"pepper mild mottle virus",20580204.89108,"copies/l wastewater",22.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"21",21,21,90,"row-3g3u-xjtz_6eew","rv-8nja.66eg_evmi",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"1fab0946cb74bc01320782319fd9ff9f",2350,"vt","CDC_Verily",50001,"Addison",9000,"f0039426b9273c4df111e3315dfd61e2",2026-06-23,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,2e-05,"pepper mild mottle virus",35221224.27077,"copies/l wastewater",77.4,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"22",22,22,95,"row-5nrd_e6mr-jvfc","rv-3r3t_68ii_9h6x",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"9400337d85b520532babdce103928d7c",2350,"vt","CDC_Verily",50001,"Addison",9000,"026bffa8763e81c90e97b64d1c5b8f83",2026-05-19,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,1e-05,"pepper mild mottle virus",59413085.93231,"copies/l wastewater",154.2,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"23",23,23,99,"row-cwij.c8gk-4xz2","rv-v9gq-cyyb_5frn",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"6a6aa8b3484247580278dca01b13c6e0",2350,"vt","CDC_Verily",50001,"Addison",9000,"941aab9954495df95c1d2e6bffe59581",2026-03-10,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,8e-05,"pepper mild mottle virus",9341199.43385,"copies/l wastewater",84.6,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"24",24,24,100,"row-gg86.ku57~zxrw","rv-gjyk~cywf~a5mv",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"fe6ab13a25677b13f393b7cbc059b98b",2350,"vt","CDC_Verily",50001,"Addison",9000,"833e8dbd76a24445c66490d9f29c622e",2026-06-16,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,3e-05,"pepper mild mottle virus",26848731.39692,"copies/l wastewater",127.2,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"25",25,25,106,"row-jun4_rmpi.xncy","rv-qppr-bkpu_re3v",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"7beb07c47209959159b45582d9f9de57",2350,"vt","CDC_Verily",50001,"Addison",9000,"6303e6fcb88215a0218d35331cf48d82",2026-04-16,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,0.00065,"pepper mild mottle virus",1145042.71286,"copies/l wastewater",40.4,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"26",26,26,107,"row-cf9w_4kvv~58yh","rv-b3yd~whjt-2zna",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"e20868eb6aa417988669ea1a63669dc6",2350,"vt","CDC_Verily",50001,"Addison",9000,"566953a3bdcf419afda58ec94df0165b",2026-04-23,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",4654.89675,"copies/l wastewater",1500,"yes",4654.89675,1957849.57388,9e-05,"pepper mild mottle virus",50232454.74462,"copies/l wastewater",134.8,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"27",27,27,108,"row-d4jw_i25f.c89a","rv-zbev.7433-vrxg",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"f2e73446a0d1e9b1926371b313f2fa7a",2350,"vt","CDC_Verily",50001,"Addison",9000,"673fdc7a7f6e632fcf9251f86f91ead5",2026-03-31,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",2569.84032,"copies/l wastewater",1500,"yes",2569.84032,1080874.83911,4e-05,"pepper mild mottle virus",60949176.49231,"copies/l wastewater",29.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"28",28,28,116,"row-mruf-n2ut.pem2","rv-p5u6~bj8j_3eh9",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"41650fa6b2f4a5530cd8f75789f309b7",2350,"vt","CDC_Verily",50001,"Addison",9000,"1bc105b8fb9a975fdd70afba9ec69375",2026-02-17,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",4702.9234,"copies/l wastewater",1500,"yes",4702.9234,1978049.58292,7e-05,"pepper mild mottle virus",69505596.45538,"copies/l wastewater",68.1,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"29",29,29,121,"row-9c65~nsn9-x2mp","rv-q7zq-f5e4.qtke",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"424318420cf34842c8d4f38ec9714ca6",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"e0e41b579206842952fc5d1b05454dd6",2026-02-04,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",33719.15618,"copies/g dry sludge",1100,"yes",33719.15618,NA,0.00014,"pepper mild mottle virus",249142456.0452,"copies/g dry sludge",61.6,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"30",30,30,124,"row-xcrx-2bpv_fk6i","rv-xbfn-9hzt_q9z5",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"0dabeb7395a6e33fa50cac5d9cdb543f",1966,"vt","WastewaterSCAN",50007,"Chittenden",16000,"aa0c475af806fe02469e5c47834a3aea",2026-02-05,"24-hr time-weighted composite","post grit removal","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",24576.2547,"copies/g dry sludge",1100,"yes",24576.2547,NA,1e-04,"pepper mild mottle virus",242937144.71287,"copies/g dry sludge",78.2,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"31",31,31,130,"row-fv2j~auuv-e8sz","rv-jaje_d4gd.undc",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"c4cd05cb0eb20a7ff12e86a53385c1f2",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"0249f35a8053b8cc749dddb23682186e",2026-02-13,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",34808.51079,"copies/g dry sludge",1100,"yes",34808.51079,NA,7e-05,"pepper mild mottle virus",514569729.51244,"copies/g dry sludge",102.1,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"32",32,32,133,"row-zs92-7pvk_papn","rv-h9yu~c6ab~mnxb",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"184152053637768f43ecf4f157c2e472",1967,"vt","CDC_Verily",50007,"Chittenden",25000,"6d85194fdd3637f43ac0d31a7e79b92f",2026-03-24,"24-hr flow-weighted composite","post grit removal","wwtp",0,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,NA,3e-05,"pepper mild mottle virus",26899580.72615,"copies/l wastewater",52.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"33",33,33,141,"row-f4vw~snxf.mur3","rv-uzru_6cpx.n3nz",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"733eccfc5d09e4ae39dbeaffe99f2e42",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"6fe0f1dc2cc875257bce874dec3db33f",2026-04-01,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",34969.41914,"copies/g dry sludge",1100,"yes",34969.41914,NA,0.00012,"pepper mild mottle virus",303733119.39048,"copies/g dry sludge",111.6,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"34",34,34,148,"row-j9r2_p84v_xhud","rv-6rc2~u6qy.txvm",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"f9609d2a5a3487edcda7957440d8d462",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"a8941192554983eec4c2f0d1fcfc4e4e",2026-03-03,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",60850.35346,"copies/g dry sludge",1100,"yes",60850.35346,NA,0.00015,"pepper mild mottle virus",411770063.39321,"copies/g dry sludge",142.5,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"35",35,35,150,"row-224q-a4rp_s4z3","rv-nb2i.hxtq_vypw",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"c9132b1b36be12b5bdb506b0255df7fe",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"8bf04f34088409f3648c3954ddb5d540",2026-07-16,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",239599474.40126,"copies/g dry sludge",98.5,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"36",36,36,160,"row-3sai-2eu5~vkjd","rv-qpb6.2f2n~crdf",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"e8eef913cabc848b8a37dc85062b8c41",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"f1f40ba0a177877d0979e0a2465dbf96",2026-01-19,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",4975.30761,"copies/g dry sludge",1100,"yes",4975.30761,NA,1e-05,"pepper mild mottle virus",395217582.46154,"copies/g dry sludge",96,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"37",37,37,189,"row-u4ik~u6sh_c9nd","rv-tje5_3axg-2g49",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"46aa2ceb865f097231849f7a1f5e63ad",1966,"vt","WastewaterSCAN",50007,"Chittenden",16000,"be87eba4520269fabc5da3fd1436c71c",2026-05-28,"24-hr time-weighted composite","post grit removal","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",307852254.18667,"copies/g dry sludge",108.2,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"38",38,38,196,"row-eacy-tvqe_6ur2","rv-6xyy~xzj2.xa4v",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"bcd1dcd1681a44cdd77f75da90ae4616",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"e0f019db2d5009d489dc23b80e2c030c",2026-07-03,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",333675248.72492,"copies/g dry sludge",130.4,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
